GMYC_spec,sample_name
1,Aureobasidium_sp_MCA7097_mtLSU_new
1,Aureobasidium_sp_JB68_mtLSU_new
1,Sydowia_polyspora_JB70_mtLSU
2,Sydowia_polyspora_HU9190_mtLSU
2,Sydowia_polyspora_MCA5020_mtLSU
2,Sydowia_polyspora_MCA7156_mtLSU
2,Sydowia_polyspora_INDP41_mtLSU
2,Sydowia_polyspora_MCA7096_mtLSU
2,Sydowia_polyspora_MCA7640_mtLSU
2,Sydowia_polyspora_TAR230_mtLSU
3,Sydowia_polyspora_INDP43_mtLSU
3,Sydowia_polyspora_MCA3890_mtLSU
4,Sydowia_polyspora_MCA7387_mtLSU
4,Sydowia_polyspora_SA46_mtLSU
5,Sydowia_polyspora_SA57_mtLSU
6,Sydowia_polyspora_MCA7731_mtLSU
